rewire_id,label_pred
sexism2022_english-10731,2. derogation
sexism2022_english-7356,3. animosity
sexism2022_english-13064,4. prejudiced discussions
sexism2022_english-17039,2. derogation
sexism2022_english-14482,2. derogation
sexism2022_english-4534,4. prejudiced discussions
sexism2022_english-16548,2. derogation
sexism2022_english-19332,2. derogation
sexism2022_english-8173,3. animosity
sexism2022_english-18056,2. derogation
sexism2022_english-19528,"1. threats, plans to harm and incitement"
sexism2022_english-13452,"1. threats, plans to harm and incitement"
sexism2022_english-7156,3. animosity
sexism2022_english-13880,2. derogation
sexism2022_english-7266,3. animosity
sexism2022_english-5073,2. derogation
sexism2022_english-2412,2. derogation
sexism2022_english-19933,3. animosity
sexism2022_english-15876,2. derogation
sexism2022_english-11821,2. derogation
sexism2022_english-16870,4. prejudiced discussions
sexism2022_english-18872,3. animosity
sexism2022_english-15076,2. derogation
sexism2022_english-1736,2. derogation
sexism2022_english-3791,2. derogation
sexism2022_english-5206,2. derogation
sexism2022_english-13678,2. derogation
sexism2022_english-2115,2. derogation
sexism2022_english-15999,2. derogation
sexism2022_english-3267,3. animosity
sexism2022_english-18079,2. derogation
sexism2022_english-6014,2. derogation
sexism2022_english-15730,4. prejudiced discussions
sexism2022_english-17495,3. animosity
sexism2022_english-13970,2. derogation
sexism2022_english-10369,2. derogation
sexism2022_english-1868,3. animosity
sexism2022_english-10155,2. derogation
sexism2022_english-9835,3. animosity
sexism2022_english-14485,2. derogation
sexism2022_english-15195,3. animosity
sexism2022_english-17171,2. derogation
sexism2022_english-3316,2. derogation
sexism2022_english-8426,2. derogation
sexism2022_english-8451,2. derogation
sexism2022_english-2217,3. animosity
sexism2022_english-12298,2. derogation
sexism2022_english-18766,2. derogation
sexism2022_english-8340,"1. threats, plans to harm and incitement"
sexism2022_english-6173,3. animosity
sexism2022_english-19442,2. derogation
sexism2022_english-4717,2. derogation
sexism2022_english-1938,2. derogation
sexism2022_english-6033,2. derogation
sexism2022_english-431,4. prejudiced discussions
sexism2022_english-6107,4. prejudiced discussions
sexism2022_english-10341,2. derogation
sexism2022_english-16708,2. derogation
sexism2022_english-3853,2. derogation
sexism2022_english-4221,2. derogation
sexism2022_english-3131,2. derogation
sexism2022_english-7359,2. derogation
sexism2022_english-5864,4. prejudiced discussions
sexism2022_english-10176,2. derogation
sexism2022_english-10268,2. derogation
sexism2022_english-6264,2. derogation
sexism2022_english-4119,2. derogation
sexism2022_english-15247,2. derogation
sexism2022_english-2790,3. animosity
sexism2022_english-18294,"1. threats, plans to harm and incitement"
sexism2022_english-16844,2. derogation
sexism2022_english-19404,3. animosity
sexism2022_english-16545,2. derogation
